Taxa Selic - Dados diários;Filtros aplicados: Data inicial: 03/01/2000 / Data final: 04/01/2010.;;;;;;;;;
Data;Taxa (% a.a.);Fator diário;Financeiro (R$);Operações;Média;Mediana;Moda;Desvio padrão;Índice de curtose;
08/09/2009;8,65;1,00032927;158.346.993.257,27;1252;8,64;8,65;8,65;0,095;132,595;
04/09/2009;8,65;1,00032927;178.561.541.608,35;1237;8,64;8,65;8,65;0,093;141,347;
03/09/2009;8,65;1,00032927;183.156.594.948,58;1212;8,64;8,65;8,65;0,09;147,921;
02/09/2009;8,65;1,00032927;162.836.395.858,11;1128;8,63;8,65;8,65;0,112;88,56;
01/09/2009;8,65;1,00032927;147.708.305.486,59;1270;8,64;8,65;8,65;0,106;105,471;
31/08/2009;8,65;1,00032927;147.198.395.449,41;1291;8,64;8,65;8,65;0,111;96,658;
28/08/2009;8,65;1,00032927;152.248.899.642,73;1297;8,64;8,65;8,65;0,111;92,782;
27/08/2009;8,65;1,00032927;156.056.390.130,35;1266;8,64;8,65;8,65;0,097;124,198;
26/08/2009;8,65;1,00032927;154.504.672.913,81;1050;8,64;8,65;8,65;0,099;116,974;
25/08/2009;8,65;1,00032927;145.207.712.869,05;1033;8,64;8,65;8,65;0,099;118,14;
24/08/2009;8,65;1,00032927;151.876.798.632,41;1021;8,64;8,65;8,65;0,101;110,857;
21/08/2009;8,65;1,00032927;164.686.559.565,28;1279;8,64;8,65;8,65;0,095;126,989;
20/08/2009;8,65;1,00032927;185.170.235.018,96;1249;8,64;8,65;8,65;0,093;137,598;
19/08/2009;8,65;1,00032927;193.650.671.298,64;1234;8,64;8,65;8,65;0,08;186,775;
18/08/2009;8,65;1,00032927;177.950.011.627,68;1271;8,64;8,65;8,65;0,101;109,603;
17/08/2009;8,65;1,00032927;181.519.411.081,07;1262;8,64;8,65;8,65;0,131;3.071,48;
14/08/2009;8,65;1,00032927;175.477.882.510,95;1262;8,64;8,65;8,65;0,093;135,377;
13/08/2009;8,65;1,00032927;184.835.733.886,33;1281;8,64;8,65;8,65;0,085;163,784;
12/08/2009;8,65;1,00032927;180.220.488.952,41;1158;8,64;8,65;8,65;0,091;140,356;
11/08/2009;8,65;1,00032927;167.332.939.680,36;1253;8,64;8,65;8,65;0,094;123,808;
10/08/2009;8,65;1,00032927;176.728.081.937,55;1244;8,64;8,65;8,65;0,082;174,756;
07/08/2009;8,65;1,00032927;186.565.808.542,03;1293;8,64;8,65;8,65;0,081;167,986;
06/08/2009;8,65;1,00032927;189.025.431.928,05;1306;8,64;8,65;8,65;0,074;208,983;
05/08/2009;8,65;1,00032927;191.789.480.569,49;1250;8,64;8,65;8,65;0,076;199,976;
04/08/2009;8,65;1,00032927;184.561.332.056,4;1297;8,64;8,65;8,65;0,092;153,437;
03/08/2009;8,65;1,00032927;184.783.650.771,9;999;8,64;8,66;8,66;0,087;158,817;
31/07/2009;8,65;1,00032927;191.499.338.086,32;1270;8,64;8,65;8,65;0,081;180,805;
30/07/2009;8,65;1,00032927;204.479.245.233,37;1030;8,64;8,65;8,65;0,091;118,714;
29/07/2009;8,66;1,00032963;202.921.701.882,31;1024;8,65;8,66;8,66;0,093;139,124;
28/07/2009;8,65;1,00032927;197.901.577.116,32;1017;8,64;8,66;8,66;0,077;191,416;
27/07/2009;8,66;1,00032963;196.905.665.544,11;1011;8,65;8,66;8,66;0,078;188,728;
24/07/2009;8,66;1,00032963;203.340.022.666,35;973;8,65;8,66;8,66;0,083;328,312;
23/07/2009;8,66;1,00032963;202.210.688.811,2;985;8,65;8,66;8,66;0,08;169,951;
22/07/2009;9,15;1,00034749;206.800.873.490,98;1008;9,13;9,15;9,15;0,12;133,317;
21/07/2009;9,16;1,00034786;185.619.427.305,72;1000;9,15;9,16;9,16;0,112;193,44;
20/07/2009;9,16;1,00034786;200.446.247.594,61;978;9,15;9,16;9,16;0,099;247,27;
17/07/2009;9,16;1,00034786;196.315.650.096,43;986;9,15;9,16;9,16;0,08;332,647;
16/07/2009;9,16;1,00034786;206.956.091.113;982;9,15;9,16;9,16;0,108;211,423;
15/07/2009;9,16;1,00034786;209.764.004.607,31;988;9,15;9,16;9,16;0,119;170,677;
14/07/2009;9,16;1,00034786;203.677.107.454,66;1019;9,15;9,16;9,16;0,118;180,107;
13/07/2009;9,16;1,00034786;205.442.127.272,44;1027;9,15;9,16;9,16;0,128;152,756;
10/07/2009;9,16;1,00034786;206.604.220.010,21;970;9,14;9,16;9,16;0,129;148,522;
09/07/2009;9,16;1,00034786;196.988.498.029,41;671;9,14;9,16;9,16;0,155;99,644;
08/07/2009;9,16;1,00034786;190.493.498.580,72;614;9,14;9,16;9,16;0,15;115,049;
07/07/2009;9,16;1,00034786;207.043.034.585,14;1012;9,14;9,16;9,16;0,143;126,279;
06/07/2009;9,16;1,00034786;213.465.709.648,97;1072;9,14;9,16;9,16;0,147;120,472;
03/07/2009;9,16;1,00034786;212.574.208.415,56;1007;9,14;9,16;9,16;0,167;92,224;
02/07/2009;9,16;1,00034786;219.994.220.802,84;1015;9,14;9,16;9,16;0,165;92,383;
01/07/2009;9,16;1,00034786;235.108.020.707,17;1142;9,14;9,16;9,16;0,169;88,705;
30/06/2009;9,16;1,00034786;180.208.944.583,63;1091;9,14;9,16;9,16;0,145;113,169;
29/06/2009;9,16;1,00034786;184.033.674.418,38;1042;9,15;9,16;9,16;0,122;166,241;
26/06/2009;9,16;1,00034786;185.430.313.853,92;1037;9,14;9,16;9,16;0,144;120,232;
25/06/2009;9,16;1,00034786;202.704.082.803,79;978;9,15;9,16;9,16;0,116;191,34;
24/06/2009;9,16;1,00034786;197.408.206.789,12;1025;9,15;9,16;9,16;0,12;168,382;
23/06/2009;9,16;1,00034786;199.478.711.591,1;1009;9,15;9,16;9,16;0,11;207,516;
22/06/2009;9,16;1,00034786;198.380.678.112,85;1039;9,15;9,16;9,16;0,114;194,031;
19/06/2009;9,16;1,00034786;224.660.508.513,56;924;9,15;9,16;9,16;0,08;323,645;
18/06/2009;9,16;1,00034786;226.937.372.785,54;956;9,15;9,16;9,16;0,096;268,598;
17/06/2009;9,16;1,00034786;223.395.934.629,85;954;9,15;9,16;9,16;0,097;262,949;
16/06/2009;9,16;1,00034786;195.315.948.706;1054;9,15;9,16;9,16;0,11;206,536;
