Taxa Selic - Dados diários;Filtros aplicados: Data inicial: 04/01/2010 / Data final: 02/01/2020.;;;;;;;;;
Data;Taxa (% a.a.);Fator diário;Financeiro (R$);Operações;Média;Mediana;Moda;Desvio padrão;Índice de curtose;
22/08/2019;5,9;1,00022751;510.669.718.827,42;903;5,9;5,89;5,9;0,017;322,294;
21/08/2019;5,9;1,00022751;523.882.284.711,08;865;5,9;5,89;5,9;0,018;346,032;
20/08/2019;5,9;1,00022751;559.592.958.546,86;860;5,9;5,89;5,9;0,017;350,473;
19/08/2019;5,9;1,00022751;558.055.207.603,59;845;5,9;5,89;5,9;0,019;439,526;
16/08/2019;5,9;1,00022751;550.177.770.441,54;853;5,9;5,89;5,9;0,02;324,863;
15/08/2019;5,9;1,00022751;569.525.131.307,76;840;5,9;5,89;5,9;0,021;599,639;
14/08/2019;5,9;1,00022751;531.940.323.162,2;861;5,9;5,89;5,9;0,021;513,254;
13/08/2019;5,9;1,00022751;535.769.714.389,53;856;5,9;5,89;5,9;0,021;329,478;
12/08/2019;5,9;1,00022751;521.536.224.011,67;878;5,9;5,89;5,9;0,023;661,864;
09/08/2019;5,9;1,00022751;531.631.805.924,21;829;5,9;5,89;5,9;0,044;20.315,235;
08/08/2019;5,9;1,00022751;558.045.491.464,57;806;5,9;5,89;5,9;0,021;519,966;
07/08/2019;5,9;1,00022751;541.418.794.262,84;759;5,9;5,9;5,9;0,021;608,537;
06/08/2019;5,9;1,00022751;530.234.938.487,92;899;5,9;5,89;5,9;0,018;271,63;
05/08/2019;5,9;1,00022751;524.709.826.200,61;851;5,9;5,89;5,9;0,018;391,633;
02/08/2019;5,9;1,00022751;499.486.166.667,45;871;5,89;5,89;5,9;0,044;211,137;
01/08/2019;5,9;1,00022751;486.774.094.310,31;858;5,9;5,89;5,9;0,019;360,041;
31/07/2019;6,4;1,00024620;439.903.480.128,58;883;6,4;6,39;6,4;0,03;278,219;
30/07/2019;6,4;1,00024620;438.728.505.739,29;894;6,4;6,39;6,4;0,036;253,925;
